,therapy_comb,AUC,AUPR,F1,Acc
3,Chemotherapy_Chemotherapy,0.744217614,0.322958776,0.35834698,0.821483129
0,Chemotherapy_Other,0.723715045,0.335932766,0.361861649,0.775057345
1,Chemotherapy_Targeted therapy,0.769172608,0.388034086,0.433283358,0.763934426
4,Other_Other,0.695287826,0.196859151,0.282807731,0.691330998
2,Targeted therapy_Other,0.592076909,0.14683339,0.213333333,0.785714286
5,Targeted therapy_Targeted therapy,0.665217391,0.030166627,0.095238095,0.838297872
,,,,,
,,,,,
,,,,,
